ID_REGULASI,REGULATOR,JUDUL,TANGGAL_REGULASI_EFEKTIF,LINK_REGULASI,TIMESTAMP,NO_KETENTUAN,TENTANG,NOTIFICATION_STATUS,TANGGAL_TERBIT,LINK_RANCANGAN,DESKRIPSI
56,OJK,Surat Edaran Otoritas Jasa Keuangan Nomor 13/SEOJK.08/2024 tentang Penyusunan dan Penyampaian Laporan Rencana dan Laporan Realisasi Literasi Keuangan dan Inklusi Keuangan,10/24/2024,ojk.go.id/id/regulasi/Pages/SEOJK-13-SEOJK08-2024-Penyusunan-dan-Penyampaian-Laporan-Rencana-dan-Laporan-Realisasi-Literasi-Keuangan-dan-Inklusi.aspx,2024-11-15 10:00:02.646311,​Surat Edaran Otoritas Jasa Keuangan Nomor 13/SEOJK.08/2024​,Penyusunan dan Penyampaian Laporan Rencana dan Laporan Realisasi Literasi Keuangan dan Inklusi Keuangan.,SENT,,,
59,OJK,Surat Edaran Otoritas Jasa Keuangan Nomor 12/SEOJK.03/2024 tentang Penerapan Tata Kelola Bagi Bank Perekonomian Rakyat,10/18/2024,ojk.go.id/id/regulasi/Pages/SEOJK-12-SEOJK03-2024-Penerapan-Tata-Kelola-Bagi-Bank-Perekonomian-Rakyat.aspx,2024-11-18 15:45:22.627559,Surat Edaran Otoritas Jasa Keuangan Republik Indonesia Nomor 12/SEOJK.03/2024,Penerapan Tata Kelola Bagi Bank Perekonomian Rakyat.,SENT,,,
60,BI,Peraturan Anggota DewanGubernur Nomor 17 Tahun 2024 TentangPelaksanaan Standardisasi Kompetensi di Bidang Sistem Pembayaran,2 Desember 2024,https://www.bi.go.id/id/publikasi/peraturan/Pages/PADG_172024.aspx,2024-12-03 10:30:14.584359,Peraturan Anggota DewanGubernur Nomor 17 Tahun 2024,Pelaksanaan Standardisasi Kompetensi di Bidang Sistem Pembayaran,SENT,,,
61,BI,Peraturan Anggota Dewan Gubernur No. 18 Tahun 2024 tentang PeraturanPelaksanaan Lembaga Alternatif Penyelesaian Sengketa di Sektor Keuangan,3 Desember 2024,https://www.bi.go.id/id/publikasi/peraturan/Pages/PADG_182024.aspx,2024-12-04 09:02:30.456132,Peraturan Anggota Dewan Gubernur No. 18 Tahun 2024,PeraturanPelaksanaan Lembaga Alternatif Penyelesaian Sengketa di Sektor Keuangan,SENT,,,
65,BI,PERATURAN ANGGOTA DEWAN GUBERNUR NOMOR 16 TAHUN 2024 TENTANG TRANSAKSI PASAR VALUTA ASING BERDASARKAN PRINSIP SYARIAH,6 November 2024,https://www.bi.go.id/id/publikasi/peraturan/Pages/PADG_162024.aspx,2024-11-06 13:30:18.182909,PERATURAN ANGGOTA DEWAN GUBERNUR NOMOR 16 TAHUN 2024,TRANSAKSI PASAR VALUTA ASING BERDASARKAN PRINSIP SYARIAH,NOT SENT,,,
66,LPS,Surat Edaran Nomor : SE-1 DKEU Tahun 2021 Tentang Format dan Panduan Tata Cara Perhitungan Premi,30 Jun 2021,https://lps.go.id/se-1-dkeu-2021-2/,2021-06-30 10:36:29.509849,Surat Edaran Nomor : SE-1 DKEU Tahun 2021,Format dan Panduan Tata Cara Perhitungan Premi,NOT SENT,,,
67,LPS,Surat Edaran Premi Penjaminan dan Premi PRP,26 Nov 2024,https://lps.go.id/surat-edaran-premi-penjaminan-dan-premi-prp/,2024-12-06 10:25:05.417593,Surat Edaran Premi Penjaminan dan Premi PRP,,NOT SENT,,,
68,OJK,Peraturan Otoritas Jasa Keuangan Nomor 12 Tahun 2024 tentang Penerapan Strategi Anti Fraud Bagi Lembaga Jasa Keuangan,10/31/2024,https://www.ojk.go.id/id/regulasi/Pages/Penerapan-Strategi-Anti-Fraud-Bagi-Lembaga-Jasa-Keuangan.aspx,2024-09-17 17:50:28.999282,Peraturan Otoritas Jasa Keuangan Nomor 12 Tahun 2024,Penerapan Strategi Anti Fraud Bagi Lembaga Jasa Keuangan,NOT SENT,,,
69,OJK,Surat Edaran Otoritas Jasa Keuangan Nomor 14/SEOJK.05/2024 tentang Persetujuan dan Pelaporan Produk Asuransi,10/29/2024,https://www.ojk.go.id/id/regulasi/Pages/SEOJK-14-SEOJK05-2024-Persetujuan-dan-Pelaporan-Produk-Asuransi.aspx,2024-11-18 15:45:22.627559,Surat Edaran Otoritas Jasa Keuangan Nomor 14/SEOJK.05/2024,Persetujuan dan Pelaporan Produk Asuransi,NOT SENT,,,
70,OJK,Peraturan Otoritas Jasa Keuangan Nomor 17 Tahun 2024 tentang Penyelenggaraan Kegiatan Usaha Bulion,10/18/2024,https://www.ojk.go.id/id/regulasi/Pages/POJK-17-Tahun-2024-Penyelenggaraan-Kegiatan-Usaha-Bulion.aspx,2024-11-15 10:00:02.646311,Peraturan Otoritas Jasa Keuangan Nomor 17 Tahun 2024,Penyelenggaraan Kegiatan Usaha Bulion,NOT SENT,,,
